duration,protocol_type,src_bytes,dst_bytes,wrong_fragment,count,label
3.751,tcp,296.75,366.1,0,4,benign
5.165,tcp,229.49,185.86,0,9,benign
3.346,icmp,304.89,285.27,0,5,benign
7.944,udp,253.29,303.07,0,4,benign
3.048,udp,270.17,195.01,0,9,benign
3.1,icmp,278.3,335.45,0,4,benign
8.222,udp,241.89,176.06,0,3,benign
6.324,udp,317.97,237.79,0,6,benign
2.117,tcp,349.71,289.37,0,5,benign
4.89,icmp,317.17,294.22,0,9,benign
3.594,icmp,166.92,186.8,0,0,benign
3.294,icmp,246.83,345.51,0,4,benign
7.315,tcp,213.59,249.79,0,3,benign
1.427,tcp,120.96,157.47,0,6,benign
0.757,udp,11.58,8.4,0,20,dos
0.471,tcp,5.46,4.59,0,18,dos
1.814,icmp,360.66,351.73,0,7,benign
0.531,icmp,25.11,30.01,0,18,dos
6.342,udp,189.94,281.86,0,5,benign
5.221,icmp,309.08,344.85,0,4,benign
4.661,udp,364.14,254.37,0,7,benign
0.9,udp,24.41,30.58,0,23,dos
4.277,tcp,293.36,352.83,0,3,benign
9.105,udp,283.6,202.86,0,7,benign
14.225,icmp,815.58,891.04,0,4,u2r
6.79,icmp,315.04,383.28,0,4,benign
2.553,tcp,114.21,103.83,0,4,probe
2.973,icmp,255.69,184.69,0,4,benign
16.275,tcp,1141.45,1001.07,0,5,u2r
3.441,icmp,354.11,255.83,0,4,benign
4.458,icmp,272.11,266.07,0,4,benign
5.919,icmp,142.9,200.03,0,5,benign
5.655,tcp,712.69,1049.18,0,7,u2r
0.164,udp,4.01,4.62,0,6,worm
6.258,udp,217.8,190.87,0,7,benign
3.827,tcp,188.68,250.83,0,3,benign
0.86,icmp,40.29,29.27,1,16,dos
10.854,icmp,665.18,496.09,0,6,r2l
0.086,udp,5.48,5.71,0,6,worm
8.087,icmp,194.39,152.3,0,7,benign
0.569,udp,34.36,32.66,0,35,dos
4.402,udp,71.62,85.27,0,5,probe
5.862,icmp,267.01,273.93,0,8,benign
6.587,udp,243.78,256.84,0,3,benign
8.675,udp,230.68,221.52,0,5,benign
2.043,udp,16.66,20.2,0,4,probe
3.84,icmp,137.68,109.99,0,9,probe
10.702,tcp,368.05,499.76,0,2,r2l
0.557,udp,15.49,18.94,0,21,dos
5.9,udp,301.44,223.87,0,6,benign
8.627,icmp,497.82,619.89,0,4,r2l
13.4,tcp,345.99,323.03,0,6,r2l
4.194,tcp,150.45,218.99,0,7,benign
3.865,tcp,315.72,328.6,0,7,benign
5.029,udp,401.97,311.04,0,5,benign
0.01,icmp,13.74,18.66,0,16,dos
6.039,udp,432.13,345.43,0,5,benign
4.687,udp,163.1,199.24,0,6,benign
4.821,udp,68.17,47.72,0,6,benign
9.546,icmp,322.67,307.02,0,8,benign
3.602,udp,209.22,243.28,0,2,benign
9.58,udp,754.15,625.81,0,3,r2l
8.479,udp,487.54,448.26,0,3,r2l
1.86,tcp,179.51,138.03,0,4,probe
4.691,udp,203.06,182.61,0,2,benign
5.011,udp,262.22,378.48,0,13,benign
0.509,udp,26.79,33.17,0,17,dos
5.028,icmp,169.19,223.71,0,4,benign
0.577,icmp,19.34,18.13,0,22,dos
18.257,icmp,694.67,536.31,0,3,u2r
5.295,tcp,187.03,168.66,0,7,benign
2.608,tcp,184.81,244.57,0,4,benign
8.754,udp,221.87,268.71,1,3,benign
5.592,icmp,267.62,298.72,0,9,benign
3.541,tcp,340.58,293.7,0,5,benign
5.638,udp,183.59,229.21,0,6,benign
6.403,icmp,321.08,279.15,0,2,benign
6.94,tcp,165.68,125.21,0,6,benign
4.257,udp,307.53,225.01,0,7,benign
4.265,tcp,132.84,149.06,0,4,probe
0.2,tcp,6.61,8.54,0,23,dos
0.339,udp,13.02,14.59,0,22,dos
4.343,tcp,39.83,34.1,0,7,probe
6.064,tcp,447.03,301.81,0,4,benign
0.362,tcp,12.02,11.33,0,18,dos
7.522,udp,157.46,229.74,0,7,benign
6.274,tcp,339.02,249.53,0,2,benign
5.639,icmp,298.71,253.48,0,8,benign
11.426,icmp,982.79,917.61,0,4,u2r
0.451,udp,0.41,0.59,0,5,probe
3.413,tcp,90.16,103.33,0,4,probe
7.212,icmp,389.07,324.1,0,5,benign
6.965,tcp,216.81,243.67,0,3,benign
6.691,icmp,242.77,324.89,0,4,benign
4.329,tcp,302.27,359.62,0,2,benign
10.316,tcp,850.23,1094.63,0,4,u2r
8.285,icmp,120.27,103.79,0,6,benign
0.416,udp,14.16,18.72,0,16,dos
6.684,icmp,192.27,220.15,0,6,benign
4.381,tcp,375.48,281.73,1,6,benign
4.269,icmp,254.02,299.73,0,6,benign
3.603,icmp,165.9,216.05,0,5,benign
9.676,udp,212.58,289.21,0,8,benign
7.414,icmp,537.96,619.86,0,5,r2l
4.083,icmp,371.75,437.84,0,2,benign
10.81,tcp,271.23,359.63,0,2,benign
5.897,icmp,248.08,365.2,0,6,benign
8.719,udp,188.29,183.46,0,7,benign
7.692,icmp,551.18,466.78,0,5,r2l
10.421,icmp,285.12,219.24,0,5,benign
5.512,udp,216.82,203.19,0,5,benign
3.808,udp,382.71,458.77,0,7,benign
1.504,tcp,127.76,118.32,0,9,probe
2.959,udp,125.9,117.84,0,3,benign
5.023,tcp,163.01,210.92,0,7,benign
0.372,tcp,42.89,51.56,0,23,dos
5.135,udp,262.65,224.92,0,2,benign
5.189,icmp,306.58,269.81,0,4,benign
3.246,udp,314.81,352.24,0,6,benign
6.243,tcp,251.45,292.97,0,10,benign
1.97,icmp,151.78,115.01,0,9,benign
5.822,udp,268.3,338.72,0,2,benign
9.81,udp,1346.5,909.36,0,5,u2r
4.673,tcp,184.27,252.99,0,8,benign
7.47,tcp,161.14,109.98,0,5,benign
9.614,icmp,921.91,1260.81,0,8,u2r
5.185,udp,309.65,329.19,0,3,benign
17.105,udp,842.37,822.92,0,3,u2r
6.686,icmp,248.16,303.09,0,6,benign
0.104,icmp,30.97,44.64,0,16,dos
10.54,udp,448.69,554.6,0,6,r2l
0.787,udp,31.13,36.75,0,13,dos
8.393,udp,46.29,42.89,0,3,benign
5.729,tcp,78.13,91.47,0,2,benign
2.456,icmp,142.66,109.11,0,5,probe
2.201,udp,167.36,116.1,0,9,probe
6.009,udp,645.21,493.16,0,3,r2l
0.01,icmp,22.87,15.85,0,25,dos
4.929,udp,200.7,263.38,0,3,benign
5.572,udp,332.85,224.15,0,1,benign
0.084,icmp,13.84,19.89,0,17,dos
4.138,icmp,80.39,78.53,0,6,probe
0.119,udp,10.36,11.74,1,2,worm
3.156,tcp,112.75,138.19,0,3,probe
5.825,udp,690.44,464.22,0,5,r2l
0.01,icmp,46.64,54.78,0,17,dos
5.238,icmp,386.47,309.22,0,3,benign
0.857,tcp,17.67,25.11,0,19,dos
5.283,udp,373.38,422.86,0,1,benign
5.763,icmp,273.35,214.27,0,3,benign
5.056,tcp,308.95,394.78,0,5,benign
2.258,icmp,103.73,152.81,0,8,probe
18.27,udp,962.11,936.72,0,6,u2r
0.21,udp,4.14,4.47,0,3,worm
6.311,udp,136.85,123.76,0,7,benign
4.966,icmp,187.51,271.93,0,8,benign
3.676,icmp,297.96,205.89,0,5,benign
3.758,icmp,422.99,293.92,0,2,benign
0.484,udp,12.48,10.71,0,19,dos
3.374,udp,197.18,243.15,0,3,benign
4.441,udp,215.66,289.82,0,4,benign
0.309,tcp,24.93,24.44,0,20,dos
5.071,icmp,286.44,200.37,0,8,benign
4.512,udp,257.59,210.33,0,5,benign
2.929,udp,163.15,200.5,0,6,benign
0.203,udp,21.2,31.35,0,20,dos
5.219,tcp,264.09,295.78,0,2,benign
2.227,tcp,289.19,338.09,0,9,benign
0.424,icmp,25.16,35.23,1,18,dos
4.044,tcp,104.28,112.78,0,12,benign
0.67,tcp,13.72,9.77,0,14,dos
4.999,udp,229.29,180.01,0,6,benign
5.991,tcp,319.77,217.53,0,5,benign
0.6,icmp,24.09,31.3,0,21,dos
4.431,tcp,310.02,354.3,0,9,benign
1.18,icmp,16.87,20.87,0,21,dos
4.52,udp,149.52,119.63,0,6,probe
0.777,tcp,18.04,19.95,0,21,dos
5.525,icmp,250.43,189.61,0,6,benign
7.955,icmp,278.97,204.23,0,7,benign
1.781,icmp,379.02,515.27,0,4,r2l
6.023,icmp,229.35,325.87,0,6,benign
5.19,icmp,196.21,225.55,0,7,benign
4.244,tcp,179.55,168.04,0,3,benign
3.289,tcp,206.27,247.1,0,3,benign
0.724,tcp,30.15,29.17,0,14,dos
0.632,icmp,18.87,22.58,0,13,dos
0.601,icmp,24.93,17.4,0,25,dos
4.276,udp,424.85,309.33,0,2,benign
2.873,tcp,281.8,252.11,0,8,benign
6.25,icmp,315.41,268.82,0,1,benign
2.942,udp,109.2,96.07,0,4,probe
3.1,icmp,132.63,160.19,0,5,probe
12.972,icmp,1211.59,1393.75,0,5,u2r
6.164,icmp,182.23,139.19,0,3,benign
8.158,icmp,309.92,272.63,0,3,benign
0.01,tcp,151.23,179.98,0,4,benign
5.217,tcp,219.56,223.85,0,5,benign
1.22,tcp,85.63,97.45,0,4,probe
9.891,tcp,444.21,342.44,0,2,r2l
2.23,icmp,87.48,100.82,0,2,probe
5.682,tcp,262.87,227.37,0,3,benign
8.505,udp,318.55,429.24,0,3,benign
9.481,udp,281.75,308.0,0,3,r2l
0.773,icmp,10.27,14.63,0,21,dos
5.346,udp,422.17,289.72,0,5,benign
5.648,icmp,216.47,274.9,0,4,benign
0.692,udp,20.88,24.86,0,24,dos
4.117,icmp,56.84,72.96,0,5,probe
5.794,tcp,462.36,401.0,0,0,benign
0.363,icmp,46.15,31.38,0,18,dos
6.648,udp,144.86,167.15,0,3,benign
0.373,tcp,30.66,37.53,0,17,dos
4.928,udp,302.66,409.88,0,7,benign
1.883,icmp,156.92,114.19,0,7,probe
2.799,udp,257.65,354.88,0,3,benign
12.314,udp,738.37,588.03,0,2,u2r
3.372,udp,322.34,231.23,0,6,benign
2.26,tcp,90.11,80.55,0,6,probe
5.68,icmp,281.23,248.08,0,4,benign
7.339,udp,208.29,176.95,0,2,benign
4.625,tcp,213.83,229.95,0,2,benign
11.46,tcp,358.46,276.53,0,9,r2l
0.277,icmp,69.53,50.0,0,18,dos
6.155,tcp,181.38,152.72,0,7,benign
0.2,tcp,4.76,6.72,0,19,dos
1.18,tcp,160.03,205.55,0,7,benign
0.01,udp,289.1,275.51,0,5,benign
4.256,icmp,263.88,226.99,0,4,benign
6.688,tcp,349.27,320.45,0,6,benign
2.793,udp,243.44,364.43,0,2,benign
3.491,udp,111.65,144.09,0,3,probe
3.743,udp,283.29,363.87,0,7,benign
9.768,icmp,680.29,496.22,0,6,r2l
2.073,tcp,183.77,248.9,0,7,benign
0.428,icmp,35.59,39.93,0,17,dos
0.559,icmp,32.77,37.61,0,21,dos
4.508,tcp,275.54,211.62,0,6,benign
7.158,tcp,207.08,162.06,0,5,benign
0.304,udp,5.45,4.65,0,4,worm
5.069,icmp,145.85,198.94,0,5,benign
1.126,icmp,281.4,199.51,0,4,benign
2.273,icmp,110.11,93.57,0,4,probe
3.02,icmp,56.67,62.15,0,5,probe
3.878,icmp,258.08,256.95,0,4,benign
5.115,tcp,105.92,101.99,0,4,benign
6.206,icmp,116.99,121.89,0,3,benign
6.991,udp,270.97,275.74,0,3,benign
0.127,tcp,181.81,190.66,0,12,benign
17.24,udp,1754.21,1340.49,0,2,u2r
16.165,tcp,863.05,1275.92,0,2,u2r
3.077,icmp,106.13,119.7,0,5,probe
6.073,icmp,330.98,233.05,0,4,benign
5.66,udp,243.88,290.53,0,2,benign
0.01,tcp,98.38,124.74,0,6,benign
4.558,tcp,325.21,222.72,0,7,benign
0.621,icmp,35.88,26.76,0,20,dos
4.944,icmp,198.63,161.27,0,5,benign
6.607,tcp,282.31,274.82,0,1,benign
4.177,icmp,218.69,288.25,0,6,benign
4.089,tcp,182.5,248.74,0,2,benign
3.412,udp,242.1,316.71,0,8,benign
4.804,udp,279.94,399.54,0,4,benign
5.659,udp,531.17,651.84,0,7,r2l
3.381,tcp,169.1,234.75,0,3,benign
5.223,tcp,244.28,248.55,0,6,benign
8.633,tcp,276.52,324.08,0,2,benign
5.92,udp,197.01,220.19,0,7,benign
3.674,icmp,341.53,336.51,0,6,benign
5.314,udp,282.39,253.48,0,2,benign
9.765,icmp,174.49,168.43,0,3,benign
5.195,udp,321.49,346.38,0,12,benign
0.267,udp,7.12,4.78,0,6,worm
5.132,tcp,242.56,194.27,0,6,benign
5.829,tcp,175.63,202.63,0,7,benign
0.221,udp,30.83,40.53,0,16,dos
4.955,udp,181.95,182.53,0,7,benign
4.661,udp,176.71,241.77,0,5,benign
0.91,udp,14.85,16.24,1,19,dos
5.363,tcp,164.02,185.4,0,3,benign
4.892,icmp,449.14,644.8,0,2,r2l
8.099,tcp,662.28,452.18,0,5,r2l
5.117,icmp,329.61,275.59,0,5,benign
2.754,tcp,348.84,256.86,0,4,benign
5.566,icmp,320.08,226.9,0,1,benign
2.799,icmp,178.02,122.51,0,8,probe
6.774,tcp,220.66,284.46,0,7,benign
0.616,icmp,21.54,19.49,0,28,dos
2.3,icmp,183.36,258.77,0,4,benign
9.07,udp,119.65,124.74,0,1,benign
5.733,tcp,182.19,174.51,0,13,benign
5.609,tcp,433.8,305.44,0,3,benign
6.999,udp,308.54,275.28,0,5,benign
1.287,icmp,332.43,308.12,0,14,benign
0.799,icmp,25.34,23.3,0,21,dos
5.355,udp,349.44,437.88,0,6,benign
4.291,udp,278.7,232.66,0,5,benign
5.469,icmp,228.14,329.94,0,7,benign
3.187,icmp,661.43,665.99,0,4,r2l
2.702,udp,304.99,354.24,0,3,benign
6.27,udp,291.83,215.94,0,1,benign
4.186,icmp,234.75,219.77,0,5,benign
0.039,udp,15.47,18.77,0,23,dos
6.389,udp,288.52,401.99,0,2,benign
2.356,icmp,233.53,191.15,0,2,benign
1.101,udp,527.79,696.58,0,10,r2l
18.793,tcp,720.4,946.46,0,2,u2r
8.684,udp,331.85,312.95,0,2,benign
5.105,udp,273.65,387.34,0,5,benign
5.471,icmp,223.84,290.52,0,7,benign
0.495,icmp,29.77,31.77,0,18,dos
0.388,icmp,35.71,32.05,0,17,dos
7.738,icmp,244.93,328.86,0,7,benign
0.072,icmp,1.79,1.56,0,8,worm
5.648,udp,518.56,391.13,0,2,benign
4.781,udp,237.82,352.46,0,5,benign
4.181,udp,290.41,355.69,0,6,benign
3.061,icmp,349.19,254.59,0,5,benign
0.01,udp,1093.11,882.45,0,8,u2r
0.43,icmp,50.73,37.81,0,25,dos
11.476,icmp,1273.86,1191.17,0,3,u2r
3.344,tcp,34.25,44.29,0,5,probe
2.905,icmp,205.64,237.37,0,7,benign
0.169,tcp,35.77,32.99,0,15,dos
7.178,udp,231.02,286.25,0,6,benign
4.175,udp,202.89,259.04,0,7,benign
3.736,udp,362.17,281.61,0,8,benign
3.913,tcp,375.52,371.69,0,7,benign
3.042,icmp,128.19,122.6,0,1,probe
4.879,tcp,447.69,514.9,0,5,r2l
2.342,udp,108.94,89.05,0,8,probe
4.43,tcp,192.59,141.54,0,8,benign
2.831,udp,69.14,63.25,0,3,probe
6.266,tcp,371.84,481.54,0,4,benign
4.659,tcp,350.94,311.27,0,4,benign
5.077,icmp,144.28,197.27,0,4,benign
