duration,src_bytes,dst_bytes,count,protocol_type_icmp,protocol_type_tcp,label
0.0,215.0,45076.0,1.0,0.0,1.0,benign
0.0,162.0,4528.0,2.0,0.0,1.0,benign
0.0,230.0,1280.0,1.0,0.0,1.0,benign
0.0,180.0,900.0,1.0,0.0,1.0,benign
0.0,0.0,0.0,120.0,0.0,1.0,dos
0.0,0.0,0.0,240.0,0.0,1.0,dos
0.0,0.0,0.0,180.0,0.0,1.0,dos
0.0,0.0,0.0,300.0,0.0,1.0,dos
0.0,1.0,0.0,1.0,1.0,0.0,probe
0.0,1.0,0.0,2.0,1.0,0.0,probe
0.1,10.0,0.0,1.0,0.0,1.0,r2l
0.1,12.0,0.0,1.0,0.0,1.0,r2l
0.2,50.0,100.0,1.0,0.0,1.0,u2r
0.2,60.0,120.0,1.0,0.0,1.0,u2r
0.0,200.0,3000.0,1.0,0.0,1.0,benign
